State,City,Asthma_Prevalence,COPD_Prevalence,Stroke_Prevalence,Heart_Prevalence,Location,Population,Asthma_LCL,Asthma_HCL,COPD_LCL,COPD_HCL,Stroke_LCL,Stroke_HCL,Heart_LCL,Heart_HCL
IL,Waukegan,10.0,7.1,3.8,7.1,"(42.3702955582, -87.8712595095)",89078,9.8,10.1,7.0,7.3,3.7,3.9,7.0,7.3
MA,Fall River,13.1,10.1,3.7,7.4,"(41.7139907598, -71.0996396919)",88857,12.8,13.3,9.8,10.4,3.6,3.8,7.2,7.5
CA,Santa Barbara,8.4,4.9,2.4,5.0,"(34.4285733874, -119.720187334)",88410,8.3,8.5,4.7,5.0,2.4,2.5,4.9,5.1
GA,Roswell,7.5,4.6,2.2,4.7,"(34.0391384583, -84.3512225277)",88346,7.3,7.6,4.4,4.8,2.1,2.3,4.5,4.8
UT,Orem,8.7,5.0,2.7,5.1,"(40.2987127625, -111.699188517)",88328,8.5,8.8,4.9,5.2,2.7,2.8,5.0,5.3
PA,Reading,11.7,9.7,4.9,8.7,"(40.3399678686, -75.9266128837)",88082,11.6,11.8,9.6,9.9,4.8,5.0,8.6,8.8
FL,Miami Beach,6.5,5.1,2.6,5.5,"(25.8167101614, -80.1341952652)",87779,6.4,6.5,4.9,5.2,2.5,2.6,5.4,5.6
KS,Lawrence,9.1,5.4,2.7,5.5,"(38.9599302924, -95.2628259088)",87643,9.0,9.3,5.2,5.6,2.7,2.8,5.3,5.6
NM,Rio Rancho,9.7,5.2,2.6,5.1,"(35.287307935, -106.697981552)",87521,9.5,9.8,5.0,5.4,2.5,2.7,5.0,5.3
UT,Sandy,8.6,3.9,2.2,4.3,"(40.5702254423, -111.852431062)",87461,8.4,8.7,3.8,4.0,2.2,2.3,4.2,4.4
NH,Nashua,10.4,6.3,2.5,5.5,"(42.7491554459, -71.4909587631)",86494,10.2,10.6,6.0,6.5,2.5,2.6,5.3,5.6
CO,Longmont,8.4,5.0,2.5,4.9,"(40.1695164708, -105.10195106)",86270,8.3,8.5,4.8,5.1,2.4,2.6,4.8,5.1
MN,Duluth,8.5,5.5,3.0,5.7,"(46.7854703427, -92.1342013763)",86265,8.4,8.6,5.3,5.6,2.9,3.1,5.6,5.8
AR,Fort Smith,10.2,9.0,3.9,7.8,"(35.3491692636, -94.3696317306)",86209,10.0,10.3,8.8,9.2,3.8,4.0,7.7,8.0
CA,Chico,9.5,6.3,2.9,5.8,"(39.7568503668, -121.815983972)",86187,9.4,9.6,6.1,6.5,2.8,3.0,5.6,5.9
CT,Norwalk,8.9,4.7,2.4,4.9,"(41.1175631682, -73.4224513123)",85603,8.8,9.0,4.6,4.9,2.3,2.5,4.8,5.0
CA,Whittier,7.7,4.6,2.4,4.8,"(33.9678255596, -118.018796341)",85331,7.6,7.8,4.5,4.7,2.4,2.5,4.7,4.9
CA,Newport Beach,7.8,3.8,1.9,4.2,"(33.6150103607, -117.867364631)",85186,7.7,7.9,3.7,4.0,1.8,1.9,4.1,4.3
FL,Deltona,8.3,8.2,3.3,6.9,"(28.905060048, -81.2134269839)",85182,8.2,8.4,8.0,8.5,3.3,3.4,6.8,7.0
MA,Newton,9.2,3.7,1.8,4.0,"(42.3316567616, -71.2084466944)",85146,9.1,9.4,3.5,3.8,1.7,1.8,3.9,4.1
FL,Plantation,7.4,5.4,2.6,5.1,"(26.1259853923, -80.2616762465)",84955,7.3,7.5,5.2,5.6,2.5,2.7,5.0,5.3
CA,San Leandro,8.7,4.7,2.5,4.9,"(37.7074299262, -122.159061655)",84950,8.6,8.8,4.6,4.9,2.5,2.6,4.8,5.0
NJ,Trenton,10.7,9.3,5.1,7.9,"(40.2237289981, -74.7639943311)",84913,10.6,10.9,9.1,9.5,5.0,5.2,7.8,8.0
VA,Suffolk,9.5,6.1,3.2,5.7,"(36.6930367981, -76.6414278469)",84585,9.3,9.6,6.0,6.3,3.2,3.3,5.6,5.8
NC,Greenville,9.4,7.0,4.0,6.6,"(35.5959211876, -77.3766133673)",84554,9.3,9.6,6.8,7.2,3.9,4.1,6.4,6.7
FL,Sunrise,8.0,6.5,3.3,5.9,"(26.1546878303, -80.299841102)",84439,7.9,8.1,6.3,6.7,3.2,3.4,5.7,6.0
FL,Boca Raton,6.9,5.3,2.3,5.2,"(26.3749012715, -80.1078208861)",84392,6.9,7.0,5.1,5.5,2.2,2.4,5.1,5.3
CA,Hawthorne,9.2,5.8,3.5,5.6,"(33.914667701, -118.347667728)",84293,9.0,9.3,5.6,5.9,3.4,3.5,5.5,5.7
TX,Allen,7.9,4.2,2.1,4.7,"(33.1087043234, -96.6735373763)",84246,7.7,8.0,4.0,4.4,2.0,2.2,4.6,4.9
NJ,Clifton,8.1,5.7,2.4,5.4,"(40.8631217425, -74.1575145342)",84136,8.0,8.2,5.5,5.9,2.4,2.5,5.3,5.6
MI,Westland,11.1,8.5,3.2,6.4,"(42.3192220455, -83.3805461719)",84094,10.9,11.2,8.2,8.7,3.1,3.3,6.3,6.6
IL,Cicero,9.4,7.0,3.7,7.2,"(41.844539143, -87.7592873023)",83891,9.2,9.6,6.8,7.2,3.6,3.8,7.1,7.4
CA,San Marcos,8.3,5.3,2.7,5.2,"(33.134965986, -117.174363098)",83781,8.2,8.5,5.0,5.5,2.6,2.8,5.0,5.4
TX,League City,8.1,4.4,2.2,4.8,"(29.4872995808, -95.1089858945)",83560,8.0,8.2,4.2,4.6,2.1,2.2,4.6,4.9
NC,Asheville,8.3,5.9,2.9,5.7,"(35.5708251391, -82.5537350816)",83393,8.2,8.5,5.7,6.1,2.8,3.0,5.6,5.9
CA,Citrus Heights,10.1,6.5,2.9,5.7,"(38.6947788342, -121.287991502)",83301,9.9,10.2,6.3,6.6,2.8,3.0,5.6,5.8
CA,Alhambra,6.8,4.0,2.3,4.5,"(34.0839734383, -118.135514119)",83089,6.7,6.9,3.8,4.1,2.3,2.4,4.4,4.6
CA,Tracy,8.7,5.2,2.6,5.3,"(37.7243277375, -121.444621463)",82922,8.5,8.8,5.1,5.4,2.5,2.7,5.2,5.4
MN,Bloomington,7.8,3.8,2.2,4.6,"(44.8305852429, -93.3150995817)",82893,7.7,7.9,3.7,3.9,2.2,2.3,4.5,4.7
UT,Ogden,9.5,6.3,3.4,6.3,"(41.2281567535, -111.967450557)",82825,9.4,9.7,6.1,6.4,3.3,3.5,6.1,6.4
IA,Sioux City,8.6,6.4,3.2,6.3,"(42.4963149039, -96.3913834837)",82684,8.5,8.8,6.2,6.6,3.1,3.3,6.2,6.4
RI,Warwick,11.4,6.6,2.4,5.3,"(41.7064727301, -71.4345615049)",82672,11.2,11.6,6.4,6.9,2.3,2.5,5.2,5.4
AL,Hoover,7.9,5.1,2.2,5.1,"(33.3767602729, -86.8051937568)",81619,7.7,8.0,4.9,5.3,2.1,2.2,5.0,5.2
OH,Parma,9.4,7.3,2.7,6.1,"(41.3842399838, -81.728599153)",81601,9.3,9.5,7.1,7.5,2.7,2.8,6.0,6.2
ID,Nampa,10.0,6.9,3.5,6.7,"(43.5829315681, -116.564145085)",81557,9.8,10.2,6.6,7.1,3.4,3.6,6.5,6.8
OK,Edmond,9.1,5.2,2.4,5.3,"(35.6689350516, -97.4159205309)",81405,9.0,9.2,5.0,5.4,2.3,2.4,5.2,5.4
IL,Champaign,9.2,5.6,2.8,5.5,"(40.1151051361, -88.2729845986)",81055,9.0,9.3,5.4,5.8,2.7,2.9,5.3,5.6
MI,Troy,8.7,4.9,2.1,4.9,"(42.5817340358, -83.1457545154)",80980,8.6,8.9,4.7,5.1,2.0,2.2,4.7,5.0
CA,Livermore,8.7,4.6,2.2,4.6,"(37.6865101361, -121.764357841)",80968,8.6,8.9,4.4,4.7,2.1,2.2,4.4,4.7
CT,Danbury,9.2,5.5,2.6,5.4,"(41.4015898606, -73.470938682)",80893,9.1,9.4,5.3,5.7,2.5,2.7,5.2,5.5
WA,Bellingham,10.1,6.3,2.9,5.8,"(48.7535370315, -122.468092906)",80885,9.9,10.3,6.0,6.5,2.8,3.0,5.7,6.0
IN,Hammond,10.6,8.2,3.9,7.4,"(41.6171442828, -87.4909551115)",80830,10.4,10.8,8.0,8.5,3.8,4.0,7.3,7.5
CA,Buena Park,8.0,5.0,2.6,5.2,"(33.8572126844, -118.004517591)",80530,7.9,8.1,4.9,5.2,2.5,2.6,5.1,5.3
TX,Longview,9.7,7.0,3.6,6.5,"(32.5192857856, -94.762197598)",80455,9.6,9.9,6.8,7.2,3.5,3.7,6.4,6.6
IN,Bloomington,10.2,7.1,3.1,6.4,"(39.1637458221, -86.5257124351)",80405,10.1,10.4,6.8,7.3,3.0,3.2,6.2,6.5
RI,Cranston,11.3,6.4,2.5,5.6,"(41.7658017135, -71.4861485002)",80387,11.1,11.5,6.2,6.7,2.4,2.6,5.5,5.8
IN,Gary,13.0,9.3,5.9,7.9,"(41.5904779239, -87.3472907397)",80294,12.8,13.2,9.0,9.5,5.8,6.0,7.8,8.1
CA,Lakewood,7.9,4.7,2.4,4.6,"(33.8470531941, -118.122204765)",80048,7.8,8.0,4.5,4.8,2.3,2.4,4.5,4.7
MI,Farmington Hills,9.4,5.3,2.3,5.0,"(42.4859956992, -83.3771159714)",79740,9.3,9.6,5.1,5.5,2.3,2.4,4.9,5.1
MO,O'Fallon,9.0,5.9,2.3,5.2,"(38.7852244161, -90.7176856736)",79329,8.9,9.1,5.7,6.2,2.2,2.4,5.1,5.3
IN,Carmel,8.7,4.0,1.9,4.6,"(39.9658404613, -86.1461278461)",79191,8.5,8.8,3.8,4.2,1.8,2.0,4.5,4.8
NC,Concord,8.5,6.6,3.2,6.1,"(35.3939316958, -80.6352429349)",79066,8.3,8.6,6.4,6.8,3.1,3.3,6.0,6.3
CA,Merced,9.7,7.7,4.0,7.1,"(37.3055863217, -120.477710571)",78958,9.6,9.9,7.5,7.9,3.9,4.0,6.9,7.2
WI,Racine,10.1,6.8,3.6,6.6,"(42.7274599494, -87.813453024)",78860,9.9,10.2,6.6,7.0,3.5,3.7,6.5,6.8
TX,Sugar Land,7.0,3.5,1.9,4.3,"(29.5974680902, -95.627455775)",78817,6.9,7.2,3.3,3.6,1.8,2.0,4.2,4.4
CA,Hemet,9.7,7.6,3.7,6.9,"(33.7352277311, -116.994605005)",78657,9.5,9.8,7.4,7.8,3.6,3.8,6.7,7.0
CA,Chino,8.7,5.1,2.6,5.4,"(33.983588126, -117.665296584)",77983,8.6,8.9,4.9,5.3,2.6,2.7,5.2,5.5
FL,Largo,8.1,8.1,3.2,6.7,"(27.9090907734, -82.7714203383)",77648,8.0,8.2,7.8,8.3,3.2,3.3,6.5,6.8
CA,Menifee,8.7,5.8,2.8,5.7,"(33.6909533045, -117.18487699)",77519,8.6,8.9,5.6,6.0,2.8,2.9,5.6,5.9
GA,Albany,10.9,9.0,5.3,7.2,"(31.5776036766, -84.1763240815)",77434,10.7,11.2,8.7,9.3,5.1,5.4,7.0,7.4
NJ,Camden,11.0,9.7,5.5,8.9,"(39.9361910066, -75.1072961899)",77344,10.9,11.2,9.5,9.9,5.4,5.7,8.7,9.0
CA,Lake Forest,7.9,4.5,2.2,4.7,"(33.6634128948, -117.670683341)",77264,7.8,8.0,4.3,4.7,2.1,2.3,4.5,4.9
TX,Edinburg,7.6,5.4,3.2,6.4,"(26.3155843974, -98.1637130371)",77100,7.4,7.8,5.2,5.6,3.1,3.3,6.3,6.6
NY,New Rochelle,10.5,5.5,2.7,5.2,"(40.9321713141, -73.7843883178)",77062,10.3,10.6,5.3,5.7,2.6,2.7,5.1,5.4
TX,Mission,7.8,5.7,3.2,6.4,"(26.2033406464, -98.322770513)",77058,7.6,8.0,5.4,5.9,3.1,3.3,6.2,6.6
CA,Napa,8.9,5.6,2.6,5.3,"(38.2980424649, -122.301093331)",76915,8.7,9.0,5.4,5.8,2.5,2.7,5.2,5.4
CA,Redwood City,8.2,4.4,2.2,4.6,"(37.5009145276, -122.224767617)",76815,8.1,8.3,4.3,4.6,2.2,2.3,4.5,4.7
IN,Fishers,8.9,4.1,1.9,4.6,"(39.9587635263, -85.969310702)",76794,8.7,9.1,3.9,4.3,1.8,2.0,4.5,4.8
MO,St. Joseph,10.1,8.7,3.4,6.7,"(39.7598312179, -94.8209246813)",76780,9.9,10.2,8.4,8.9,3.3,3.5,6.6,6.9
GA,Johns Creek,6.8,3.8,1.9,4.2,"(34.0332991998, -84.2027195506)",76728,6.7,6.9,3.7,4.0,1.8,1.9,4.1,4.4
OR,Bend,9.7,5.6,2.6,5.4,"(44.0561827184, -121.308690416)",76639,9.5,9.9,5.3,5.9,2.5,2.7,5.2,5.5
CA,Bellflower,8.5,5.6,3.0,5.4,"(33.8880417923, -118.127100236)",76616,8.4,8.6,5.5,5.7,3.0,3.1,5.3,5.5
IL,Bloomington,9.1,5.7,2.6,5.5,"(40.4756778366, -88.9700813515)",76610,9.0,9.2,5.5,5.9,2.6,2.7,5.4,5.7
MA,Lawrence,11.3,7.7,3.8,7.7,"(42.7002772201, -71.1626790341)",76377,11.1,11.5,7.5,8.0,3.7,3.9,7.5,7.9
AZ,Avondale,9.9,6.1,3.2,6.2,"(33.3858367405, -112.323626619)",76238,9.8,10.0,5.9,6.3,3.2,3.3,6.1,6.4
TX,Bryan,9.4,6.5,3.5,6.5,"(30.6665687582, -96.3663819223)",76201,9.3,9.6,6.2,6.7,3.4,3.6,6.3,6.6
IL,Decatur,10.7,8.0,3.7,6.7,"(39.8555822645, -88.9336983421)",76122,10.5,10.8,7.8,8.2,3.7,3.8,6.6,6.9
PA,Scranton,10.7,7.9,3.5,6.9,"(41.4043729362, -75.6649126898)",76089,10.5,10.9,7.6,8.1,3.4,3.6,6.8,7.1
FL,Melbourne,8.3,8.0,3.3,6.5,"(28.1158805782, -80.6508814613)",76068,8.2,8.5,7.8,8.3,3.3,3.4,6.4,6.7
CA,Indio,8.7,6.1,3.2,6.4,"(33.7298067837, -116.237258141)",76036,8.5,8.9,5.9,6.3,3.1,3.3,6.2,6.5
MN,Brooklyn Park,8.2,4.3,2.7,5.0,"(45.1112033916, -93.3505067942)",75781,8.1,8.4,4.1,4.4,2.6,2.8,4.8,5.1
MA,Somerville,10.1,5.1,2.5,5.0,"(42.3905738858, -71.1017450879)",75754,10.0,10.3,4.8,5.3,2.4,2.6,4.8,5.1
VA,Lynchburg,9.6,7.1,3.6,6.3,"(37.4004163016, -79.1911081)",75568,9.4,9.7,6.9,7.3,3.5,3.7,6.1,6.4
CA,Tustin,8.0,4.7,2.4,4.9,"(33.7308520326, -117.810730968)",75540,7.8,8.1,4.6,4.9,2.3,2.5,4.8,5.1
CA,Baldwin Park,7.8,5.0,2.9,5.5,"(34.082871519, -117.972100918)",75390,7.7,8.0,4.9,5.2,2.8,2.9,5.4,5.7
FL,Palm Coast,8.0,7.1,3.1,6.1,"(29.5405590976, -81.2508206143)",75180,7.9,8.1,6.8,7.3,3.0,3.2,6.0,6.2
IL,Arlington Heights,8.4,4.5,2.0,4.5,"(42.095623342, -87.9825627457)",75101,8.3,8.5,4.3,4.6,2.0,2.1,4.4,4.6
ID,Meridian,8.9,4.8,2.4,5.1,"(43.6185195383, -116.39758487)",75092,8.7,9.2,4.5,5.1,2.3,2.6,4.9,5.3
FL,Deerfield Beach,8.4,7.6,3.5,6.4,"(26.3049966413, -80.1277706584)",75018,8.2,8.5,7.3,7.8,3.4,3.7,6.2,6.6
PA,Bethlehem,10.1,6.4,2.9,6.0,"(40.6266402578, -75.3679048175)",74982,9.9,10.2,6.2,6.6,2.8,3.0,5.9,6.2
OR,Medford,11.1,7.5,3.3,6.3,"(42.3371987584, -122.853625909)",74907,10.9,11.3,7.2,7.7,3.2,3.4,6.2,6.5
CA,Chino Hills,7.6,3.7,2.0,4.2,"(33.950774546, -117.725326968)",74799,7.5,7.7,3.5,3.8,1.9,2.0,4.1,4.3
IL,Evanston,8.8,4.4,2.4,4.6,"(42.0463099649, -87.6940348773)",74486,8.7,8.9,4.2,4.6,2.3,2.4,4.4,4.7
MI,Kalamazoo,11.8,8.9,4.0,7.0,"(42.2748756474, -85.588188576)",74262,11.6,11.9,8.7,9.2,3.9,4.1,6.9,7.2
IL,Schaumburg,8.2,4.5,2.1,4.6,"(42.0305488755, -88.0838663543)",74227,8.1,8.4,4.3,4.7,2.0,2.2,4.4,4.7
CA,Mountain View,7.4,3.5,1.9,4.1,"(37.3999252379, -122.079544343)",74066,7.3,7.5,3.4,3.6,1.8,1.9,4.0,4.2
WA,Kennewick,10.6,7.1,3.2,6.3,"(46.198438428, -119.173245847)",73917,10.4,10.8,6.9,7.4,3.1,3.3,6.2,6.5
CA,Alameda,8.3,4.0,2.1,4.2,"(37.7650849031, -122.266489842)",73812,8.2,8.4,3.8,4.1,2.0,2.1,4.1,4.3
CA,Upland,9.0,5.3,2.6,5.2,"(34.1178445701, -117.660290062)",73732,8.9,9.1,5.1,5.4,2.6,2.7,5.1,5.3
AR,Fayetteville,8.8,7.0,3.0,6.6,"(36.0712117312, -94.1659600436)",73580,8.7,9.0,6.7,7.3,2.9,3.1,6.4,6.8
IL,Bolingbrook,8.9,5.3,2.7,5.4,"(41.6911653908, -88.1011218035)",73366,8.8,9.1,5.1,5.5,2.6,2.8,5.3,5.5
CT,New Britain,11.3,7.3,3.4,6.6,"(41.675922654, -72.7861630705)",73206,11.2,11.5,7.1,7.5,3.3,3.5,6.5,6.8
OH,Canton,11.3,10.2,4.4,7.9,"(40.8080192662, -81.3676594998)",73007,11.1,11.4,10.0,10.4,4.3,4.5,7.7,8.0
UT,St. George,8.8,5.2,2.8,5.5,"(37.0787444634, -113.579352503)",72897,8.6,9.0,5.0,5.5,2.7,2.9,5.3,5.6
WI,Appleton,8.9,5.5,2.6,5.7,"(44.2776987457, -88.3897664444)",72623,8.8,9.0,5.4,5.7,2.6,2.7,5.5,5.8
CA,Folsom,8.5,4.2,2.0,4.4,"(38.6750494328, -121.147605753)",72203,8.4,8.7,4.0,4.4,2.0,2.1,4.3,4.6
CA,San Ramon,7.2,3.1,1.7,3.7,"(37.7623705462, -121.938150371)",72148,7.1,7.3,3.0,3.3,1.6,1.8,3.6,3.9
MI,Wyoming,10.6,8.0,3.1,6.5,"(42.8909745661, -85.7067229249)",72125,10.4,10.8,7.7,8.3,3.0,3.2,6.3,6.6
LA,Lake Charles,9.7,8.1,4.4,7.2,"(30.2030679966, -93.2148796496)",71993,9.5,9.8,7.9,8.4,4.3,4.5,7.0,7.4
TX,Baytown,9.0,6.6,3.3,6.7,"(29.7571153043, -94.9676276217)",71802,8.9,9.1,6.4,6.8,3.2,3.4,6.5,6.8
NC,Gastonia,9.4,7.8,3.9,7.0,"(35.2472984431, -81.1836588468)",71741,9.2,9.5,7.5,8.0,3.8,3.9,6.8,7.1
MI,Southfield,11.4,6.2,3.5,5.6,"(42.4765016267, -83.2605284738)",71739,11.3,11.6,6.0,6.4,3.4,3.5,5.5,5.7
RI,Pawtucket,12.9,8.4,3.4,6.8,"(41.8744534517, -71.3743580803)",71148,12.8,13.1,8.2,8.6,3.3,3.5,6.7,6.9
MI,Rochester Hills,9.0,5.0,2.1,4.8,"(42.6645256768, -83.1563037157)",70995,8.9,9.1,4.8,5.2,2.0,2.2,4.7,5.0
DE,Wilmington,10.7,7.6,4.4,6.6,"(39.7412748227, -75.5418960925)",70851,10.5,10.8,7.4,7.8,4.3,4.5,6.5,6.7
WI,Waukesha,8.6,5.3,2.5,5.5,"(43.0093332215, -88.2457679157)",70718,8.5,8.8,5.1,5.5,2.4,2.6,5.3,5.6
MN,Plymouth,7.3,3.1,1.9,4.1,"(45.022462874, -93.4616016242)",70576,7.2,7.5,3.0,3.3,1.8,2.0,4.0,4.2
TX,Pharr,8.3,6.6,3.8,7.3,"(26.168815399, -98.1904720704)",70400,8.0,8.7,6.2,6.9,3.6,4.0,7.1,7.6
CA,Pleasanton,7.9,3.5,1.8,3.9,"(37.6656092171, -121.880775002)",70285,7.8,8.0,3.4,3.7,1.7,1.8,3.8,4.0
WA,Auburn,10.0,6.5,3.2,6.1,"(47.3038544325, -122.210810557)",70180,9.9,10.2,6.3,6.7,3.1,3.2,6.0,6.2
NC,Jacksonville,8.4,6.5,3.4,6.3,"(34.7331103037, -77.3951822819)",70145,8.3,8.6,6.3,6.8,3.3,3.5,6.1,6.4
IN,Muncie,11.3,9.2,3.9,7.5,"(40.1987098324, -85.3942940148)",70085,11.1,11.5,8.9,9.5,3.8,4.0,7.3,7.7
AR,Springdale,9.4,8.6,3.5,7.7,"(36.1869932598, -94.1536274531)",69797,9.2,9.6,8.2,8.9,3.4,3.7,7.5,7.9
NJ,Passaic,9.1,8.1,4.1,7.7,"(40.8574581109, -74.1281123174)",69781,8.9,9.4,7.9,8.4,4.0,4.2,7.6,7.9
CA,Lynwood,9.4,6.8,4.1,6.8,"(33.9239616867, -118.201648375)",69772,9.1,9.6,6.6,7.0,4.0,4.2,6.7,7.0
CA,Union City,7.5,3.7,2.1,4.3,"(37.6028390812, -122.018966106)",69516,7.4,7.6,3.5,3.8,2.0,2.2,4.2,4.4
CA,Apple Valley,10.1,7.0,3.3,6.2,"(34.5315984948, -117.211012664)",69135,9.9,10.3,6.8,7.3,3.2,3.4,6.1,6.4
CA,Redlands,9.0,5.1,2.5,5.0,"(34.0511315317, -117.170935294)",68747,8.9,9.2,4.9,5.4,2.4,2.6,4.9,5.2
IL,Palatine,8.4,4.7,2.2,4.7,"(42.1180663695, -88.042989882)",68557,8.3,8.6,4.5,4.9,2.1,2.3,4.6,4.9
CA,Turlock,9.3,6.4,3.0,6.0,"(37.5052158271, -120.858762412)",68549,9.2,9.5,6.1,6.6,2.9,3.1,5.9,6.2
IA,Waterloo,8.9,6.2,3.4,6.1,"(42.4919736932, -92.3521759342)",68406,8.7,9.0,6.0,6.4,3.3,3.4,6.0,6.3
CA,Perris,9.2,6.5,3.8,6.9,"(33.7897346094, -117.223291831)",68386,9.0,9.4,6.3,6.7,3.7,3.9,6.7,7.0
FL,Boynton Beach,8.2,7.4,3.4,6.4,"(26.5279818052, -80.0814660417)",68217,8.1,8.4,7.2,7.6,3.4,3.5,6.3,6.6
SD,Rapid City,8.3,6.0,3.0,6.2,"(44.0705009564, -103.218361421)",67956,8.2,8.5,5.9,6.3,3.0,3.1,6.1,6.4
NM,Santa Fe,9.3,4.7,2.4,4.9,"(35.6662719601, -105.972662995)",67947,9.2,9.4,4.5,4.8,2.4,2.5,4.8,5.0
IA,Iowa City,7.9,4.9,2.7,5.3,"(41.6558950332, -91.5308854927)",67862,7.7,8.0,4.7,5.1,2.6,2.7,5.2,5.5
SC,Mount Pleasant,7.8,4.6,2.1,4.6,"(32.8538274584, -79.8230343029)",67843,7.7,8.0,4.3,4.9,2.0,2.2,4.4,4.8
MS,Gulfport,9.1,7.9,4.2,7.5,"(30.427377008, -89.0701908439)",67793,8.9,9.2,7.7,8.1,4.1,4.3,7.4,7.7
TX,Missouri City,8.4,4.1,2.5,4.7,"(29.563674661, -95.5382066661)",67358,8.3,8.6,3.9,4.2,2.4,2.6,4.6,4.9
UT,Layton,8.6,4.7,2.5,5.0,"(41.077181614, -111.961589302)",67311,8.5,8.7,4.5,4.8,2.4,2.6,4.9,5.2
NY,Mount Vernon,12.4,6.5,3.7,5.7,"(40.9136008569, -73.8291001676)",67292,12.2,12.6,6.3,6.7,3.6,3.8,5.6,5.8
AR,Jonesboro,9.3,7.7,3.3,6.9,"(35.8208121538, -90.6794991686)",67263,9.2,9.5,7.4,8.0,3.2,3.4,6.7,7.1
IN,Lafayette,10.7,7.7,3.3,6.8,"(40.3994285285, -86.8617007404)",67140,10.6,10.9,7.4,8.0,3.2,3.4,6.6,7.0
CA,Manteca,9.3,6.3,3.0,5.9,"(37.7961925102, -121.231230612)",67096,9.1,9.4,6.1,6.5,2.9,3.0,5.8,6.0
OH,Youngstown,11.3,10.8,5.4,8.6,"(41.0993286607, -80.6463187081)",66982,11.2,11.5,10.6,11.0,5.3,5.5,8.4,8.7
FL,Lauderhill,9.9,8.3,4.9,6.8,"(26.1605584187, -80.2241278263)",66887,9.7,10.1,8.0,8.6,4.7,5.0,6.7,7.0
CO,Loveland,8.9,4.9,2.5,4.8,"(40.4165693758, -105.061758435)",66859,8.8,9.1,4.7,5.1,2.4,2.6,4.6,4.9
CA,Milpitas,6.7,3.2,1.9,4.1,"(37.433869763, -121.892083025)",66790,6.6,6.8,3.1,3.3,1.8,1.9,4.0,4.2
MT,Missoula,9.2,6.1,2.8,5.6,"(46.8694402455, -114.009863843)",66788,9.0,9.4,5.9,6.4,2.7,2.9,5.5,5.8
CA,Redondo Beach,7.4,3.7,1.9,3.9,"(33.8575280159, -118.376567893)",66748,7.3,7.5,3.5,3.8,1.8,1.9,3.8,4.0
LA,Kenner,8.6,6.8,3.2,6.7,"(30.0106937201, -90.2550320135)",66702,8.4,8.7,6.6,7.0,3.2,3.3,6.5,6.8
GA,Warner Robins,9.4,8.1,3.9,6.8,"(32.5985113609, -83.6530271267)",66588,9.3,9.6,7.8,8.3,3.8,4.0,6.6,6.9
NJ,Union City,8.3,6.6,3.3,7.0,"(40.7674606884, -74.032293507)",66455,8.2,8.5,6.3,6.8,3.2,3.4,6.8,7.1
ME,Portland,11.4,6.2,2.8,5.7,"(43.6779836271, -70.2752544531)",66194,11.2,11.5,5.9,6.4,2.7,2.8,5.6,5.9
SC,Rock Hill,9.7,7.2,3.6,6.3,"(34.9403611496, -81.0249178286)",66154,9.6,9.9,7.0,7.5,3.5,3.8,6.2,6.5
NY,Schenectady,12.3,8.5,3.6,7.0,"(42.8025204414, -73.9275333869)",66135,12.1,12.5,8.3,8.8,3.5,3.7,6.8,7.1
WY,Cheyenne,8.6,6.0,2.6,5.4,"(41.1460804265, -104.789064332)",59466,8.4,8.8,5.7,6.2,2.5,2.6,5.2,5.5
WV,Charleston,10.9,9.3,3.2,7.5,"(38.3484079736, -81.632165003)",51400,10.7,11.1,9.0,9.6,3.1,3.3,7.3,7.7
VT,Burlington,10.6,6.0,2.9,5.6,"(44.4876245694, -73.2314828365)",42417,10.3,10.8,5.6,6.3,2.7,3.0,5.4,5.9
